symbol,side,entry_time,entry_price,exit_time,exit_price,reason,pnl,label
ETH/USDT,SHORT,"2025-07-15 14:44:37,272",3017.560000,"2025-07-15 14:53:07,098",2985.030000,TP1,0.010780,1
CAKE/USDT,SHORT,"2025-07-15 14:44:44,765",2.374200,"2025-07-15 14:53:13,416",2.355600,TP1,0.007834,1
LINK/USDT,SHORT,"2025-07-15 14:44:53,444",15.406000,"2025-07-15 14:53:21,212",15.265000,TP1,0.009152,1
SOL/USDT,SHORT,"2025-07-15 14:53:10,303",158.290000,"2025-07-16 06:42:21,222",163.600000,SL,-0.033546,0
WIF/USDT,SHORT,"2025-07-15 14:53:18,280",1.001500,"2025-07-15 15:31:02,730",1.024300,SL,-0.022766,0
LDO/USDT,LONG,"2025-07-15 15:17:52,757",0.838900,"2025-07-16 07:20:43,938",0.921700,TP1,0.098701,1
OP/USDT,SHORT,"2025-07-16 06:47:06,973",0.702600,"2025-07-16 07:18:14,043",0.707600,SL,-0.007116,0
CAKE/USDT,LONG,"2025-07-16 06:48:15,851",2.441100,"2025-07-16 09:24:51,890",2.454700,TP1,0.005571,1
LDO/USDT,LONG,"2025-07-16 06:49:10,248",0.914100,"2025-07-16 07:20:43,938",0.921700,TP1,0.008314,1
SOL/USDT,SHORT,"2025-07-16 06:51:34,353",163.650000,"2025-07-16 08:38:42,878",164.900000,SL,-0.007638,0
MEME/USDT,LONG,"2025-07-16 06:51:39,428",0.001889,"2025-07-16 09:43:21,773",0.001872,SL,-0.008999,0
DOGE/USDT,LONG,"2025-07-16 06:52:57,215",0.199240,"2025-07-16 09:01:09,357",0.200270,TP1,0.005170,1
XRP/USDT,LONG,"2025-07-16 06:54:13,760",2.934700,"2025-07-16 08:38:44,159",2.949900,TP1,0.005179,1
LINK/USDT,LONG,"2025-07-16 07:03:36,076",16.120000,"2025-07-16 07:21:57,949",16.206000,TP1,0.005335,1
ZRX/USDT,LONG,"2025-07-16 07:04:57,668",0.269400,"2025-07-16 09:34:14,289",0.271000,TP1,0.005939,1
POPCAT/USDT,LONG,"2025-07-16 07:21:56,659",0.372200,"2025-07-16 07:55:42,793",0.377000,TP2,0.012896,1
WIF/USDT,SHORT,"2025-07-16 07:31:08,905",1.081000,"2025-07-16 09:06:28,463",1.090600,SL,-0.008881,0
OP/USDT,SHORT,"2025-07-16 08:24:02,422",0.709400,"2025-07-16 10:57:41,835",0.703200,TP1,0.008740,1
LDO/USDT,SHORT,"2025-07-16 08:24:03,694",0.915700,"2025-07-16 09:26:22,368",0.908700,TP1,0.007644,1
LINK/USDT,LONG,"2025-07-16 09:38:09,043",16.433000,"2025-07-16 10:04:43,342",16.552000,TP1,0.007242,1
XRP/USDT,SHORT,"2025-07-16 09:44:37,043",2.946600,"2025-07-16 12:33:20,276",2.962800,SL,-0.005498,0
CAKE/USDT,SHORT,"2025-07-16 09:44:38,318",2.455600,"2025-07-16 09:52:33,423",2.472900,SL,-0.007045,0
